Serial number,text,unix timestamp (milliseconds),whisper_assigned_categories,country,region,Hate targets extracted from the whisper text,Hate categories assigned by us
2261,I don't like black people,1409810477095,"Confessions,DIY and Home,Politics",United States,Texas,black people,race
2262,I hate dirty people!,1409834222791,"DIY and Home,Politics",,,dirty people,behavior
2263,I really hate judgmental people ,1409844498253,"Confessions,DIY and Home,Politics",Philippines,Western Visayas,judgmental people,behavior
2264,I hate fat people,1409853509775,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Kentucky,fat people,physical
2265,I hate mean people.,1409856146815,"Confessions,DIY and Home,Politics",United States,North Carolina,mean people,behavior
2266,"Just struck me how a lot of people on here criticise black people for basically making a mountain out of a molehill out of life, but anyone noticed how they're the only ethnic group; diverse as it, to be slated/made a novelty off on whisper, 'I don't like black people' 'I slept with a black person' 'I'm afraid of black people' Jeez!!! ",1409857304720,"Confessions,DIY and Home,Politics,Sports",United Kingdom,England,black people,race
2267,"I can't stand FAKE people, where's the real people at?? ",1409859063744,"DIY and Home,Politics,Q and A",United States,Wisconsin,fake people,behavior
2268,I hate stupid people!,1409861101136,"DIY and Home,Politics",United States,Texas,stupid people,other
2269,I can't stand fake people,1409863109085,"Confessions,DIY and Home,Politics",United States,Pennsylvania,fake people,behavior
2270,i don't like fat people,1409864029152,"Confessions,DIY and Home,Health and Wellness,Politics",Netherlands,Zuid-Holland,fat people,physical
2271,i hate fake people :) ,1409864052843,"DIY and Home,Politics",,الفروانية,fake people,behavior
2272,"I hate old people try to us a new phone, and then asking if you can help them ",1409865835060,"DIY and Home,LOL,Politics",United Kingdom,England,old people,physical
2273,I'm allergic to stupid people.,1409865971606,"Confessions,DIY and Home,Politics",United States,California,stupid people,other
2274,I hate nosey people ! ,1409870953527,"Confessions,DIY and Home,Politics",United States,Illinois,nosey people,behavior
2275,I hate retarded people!!!,1409871680016,"DIY and Home,Politics",United States,Florida,retarded people,disability
2276,I hate rude people ,1409871785561,"Confessions,DIY and Home,Politics",,,rude people,behavior
2277,I hate ugly people. I know I'm an ass ,1409871888087,"NSFW,Politics",United States,Texas,ugly people,physical
2278,I hate fat people. Chubby is one thing but fat is just disgusting and SO unhealthy!  The people that tell you to love your body no matter what are just setting you up for diabetes and heart attacks ,1409873199762,"Confessions,DIY and Home,Health and Wellness,LOL,Politics,Q and A",United States,Florida,fat people,physical
2279,I hate dumb people ,1409874912011,"Confessions,DIY and Home,Politics",,,dumb people,other
2280,I can't stand homophobic people.,1409877055586,"DIY and Home,Politics",United States,Georgia,homophobic people,sexual_orientation
2281,I don't go out with friends because I don't like dramatic people ,1409879452241,"Confessions,DIY and Home,Politics,Relationships",United States,New Hampshire,dramatic people,behavior
2282,I hate ignorant people that say being gay is a choice.,1409880002163,"DIY and Home,LGBTQ,Politics",United States,Indiana,ignorant people,behavior
2283,This guy thinks he is really cute but he's not even AT LEAST decent looking. I hate cocky people. ,1409884782665,"Confessions,DIY and Home,Politics,Relationships",United States,California,cocky people,behavior
2284,I hate black people but I'm not racist ,1409885673641,"Confessions,DIY and Home,Politics",Canada,Washington,black people,race
2285,I hate gay people with a passion... Go ahead and try to start something with me now..,1409887243603,,,,gay people,sexual_orientation
2286,I hate racist people they are so ignorant.  ,1409887723970,"Confessions,DIY and Home,Politics",United States,Georgia,racist people,race
2287,I seriously hate popular people but most of those people are my friends,1409892516323,"Confessions,DIY and Home,Politics",United States,California,popular people,behavior
2288,I secretly hate black people even though I am black. ,1409893130605,"Confessions,DIY and Home,Politics",,,black people,race
2289,I hate stupid people,1409895543320,"DIY and Home,Politics",United States,Utah,stupid people,other
2290,I hate fake people.... I am totally over it. ,1409899671634,"Confessions,DIY and Home,Politics",United States,Kentucky,fake people,behavior
2291,I'm so sick of fake people in my life! I need a ride or die bitch 👑,1409901764767,"Celebrities and Pop Culture,DIY and Home,Politics",,,fake people,behavior
2292,I don't like black people,1409902185444,"Confessions,DIY and Home,Politics",,,black people,race
2293,I hate fake people.,1409984760908,"Confessions,DIY and Home,Politics",,,fake people,behavior
2294,"I hate skinny people who say they're fat but you are perfectly okay when you weight like 10kg more, don't lie to my face for pity!!",1409991534070,,United Kingdom,,skinny people,physical
2295,I fucking hate stupid people,1409996412250,"DIY and Home,Politics",United States,California,stupid people,other
2296,I honestly can't stand sexist people or homophobes. The thought of undermining someone because of gender or sexual orientation is disgusting.,1410007457468,,,,sexist people,gender
2297,"I hate loud people. 
especially when i want to sleep in.",1410010178589,"Confessions,DIY and Home,Politics",United States,Kansas,loud people,behavior
2298,I despise stupid people,1410010200692,"DIY and Home,Politics",,,stupid people,other
2299,I hate fake people,1410013875916,"Confessions,DIY and Home,Politics",United Kingdom,England,fake people,behavior
2300,I hate stupid people ,1410013945651,"Confessions,DIY and Home,Politics",United States,Tennessee,stupid people,other
2301,"I'm so sick of stupid people!!
Are there any smart people left in the world?
",1410016928703,Meet Up,,,stupid people,other
2302,I hate white people.,1410018902574,"Confessions,DIY and Home,Politics",United States,Virginia,white people,race
2303,"I hate bitter people, like those who always find negative things about you ",1410020031344,"Confessions,DIY and Home,LOL,Politics",Philippines,National Capital Region,bitter people,behavior
2304,I don't like indian people.,1410020737831,"Confessions,DIY and Home,Politics",,,indian people,ethnicity
2305,I hate judgmental people ,1410020989843,"DIY and Home,Politics",,,judgmental people,behavior
2306,I hate fake people. Just be yourself and be honest!,1410022290380,"Confessions,DIY and Home,LOL,Politics",United States,Maryland,fake people,behavior
2307,"I hate fat people. Especially ones that think they are not fat, while in reality they are.",1410023691513,"Confessions,DIY and Home,Health and Wellness,Politics",,,fat people,physical
2308,I love to care for people but I hate fake people．,1410025882598,"Confessions,DIY and Home,Politics",,,fake people,behavior
2309,I don't like racist people there is no need for that anymore ,1410026560653,Meet Up,United States,New York,racist people,race
2310,"I hate white people and I'm white. 
 ",1410026690271,"Confessions,DIY and Home,Politics",,,white people,race
2311,I hate fake people!!! ,1410027923349,"DIY and Home,Politics",United States,Iowa,fake people,behavior
2312,I hate rude people!,1410028593468,"DIY and Home,Politics",United Kingdom,England,rude people,behavior
2313,i hate white people ,1410029480738,"Confessions,DIY and Home,Politics",,مبارك الكبير,white people,race
2314,I can't stand fat people. I feel bad but i honestly can't help it. I don't mock them bu I avoid them. ,1410030985756,"Confessions,DIY and Home,Health and Wellness,Politics,Sports",United States,North Dakota,fat people,physical
2315,I don't like fat people... Including my self. I judge you all unless you are losing weight ,1410032295007,"Confessions,DIY and Home,Health and Wellness,LOL,Politics",United States,Florida,fat people,physical
2316,I can't stand lazy people who watch 80 year old women bag their groceries.  Help the heaux out. ,1410032790172,"Celebrities and Pop Culture,DIY and Home,Politics,Sports,TV and Movies",United States,Virginia,lazy people,behavior
2317,I hate negative people!!!,1410034314157,"DIY and Home,Politics",United States,Florida,negative people,behavior
2318,I can not stand stupid people. There's a generation of idiots developing and everyone's ignoring it. ,1410034676424,"Confessions,DIY and Home,Politics",United Kingdom,England,stupid people,other
2319,"I hate judgmental people! Yes I am gay! No, no it does not effect your life. ",1410036883587,"Confessions,DIY and Home,LGBTQ,LOL,Politics",United States,Ohio,judgmental people,behavior
2320,"I hate flaky people!!!!!!!!!
Ahh! ",1410038368478,"DIY and Home,Politics",,,flaky people,behavior
2321,"I hate racist people they need to just crock over and DIEEEE
Signed white chick who loves EVERYBODY ",1410040513452,"DIY and Home,Politics",,,racist people,race
2322,"I secretly hate beautiful people 
They annoying me 
Because I'm  ugly  ",1410041994197,"Confessions,DIY and Home,Politics",Denmark,Sjælland,beautiful people,physical
2323,I hate fat people,1410044694347,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Utah,fat people,physical
2324,I hate racist people. ,1410049961736,"Confessions,DIY and Home,Politics",,,racist people,race
2325,"I hate stupid people.
I put up with them also cuz they amuse me.",1410051747863,"Confessions,DIY and Home,Politics",United States,Florida,stupid people,other
2326,Why can't people just be real! I hate fake people. They lie ALL the time! ,1410052490766,,,,fake people,behavior
2327,I am SICK of religious people FORCING their beliefs onto others! You are entitled to believe in your god and I'm entitled NOT to! Now let me be and LIVE MY LIFE!,1410053517879,,,,religious people,religion
2328,"I can't stand judgmental people!! Like, go sit ur ass down.....ughhhh ",1410055474482,"NSFW,Politics",United States,Texas,judgmental people,behavior
2329,i hate  white people tring to be black,1410056061857,"Confessions,DIY and Home,Politics",United States,Florida,white people,race
2330,i hate Chinese people with a passion,1410057059430,"DIY and Home,Politics",United States,Minnesota,chinese people,ethnicity
2331,Sometime I hate white people because of how spoiled they are and they don't have know how much privileges they have ,1410060819017,"Confessions,DIY and Home,Politics",,,white people,race
2332,I HATE BLACK PEOPLE,1410062365477,"DIY and Home,Politics",,,black people,race
2333,"So bored, I almost want to go hang out at the bars. I hate drunk people though. ",1410062445774,Meet Up,United States,North Dakota,drunk people,other
2334,"I personally hate drunk people, they are VERY annoying.
",1410063767758,"Confessions,DIY and Home,Drugs and Alcohol,Politics",Canada,Alberta,drunk people,other
2335,I hate black people,1410066263706,"DIY and Home,Politics",,,black people,race
2336,I hate fake people ,1410067474124,"Confessions,DIY and Home,Politics",,,fake people,behavior
2337,I Hate Black People,1410067617909,"DIY and Home,Politics",United States,Texas,black people,race
2338,"I despise homophobic people so much 
I refuse to talk to them",1410072265909,"DIY and Home,Politics",,,homophobic people,sexual_orientation
2339,I can't stand illiterate people in my inbox!,1410073231687,"Confessions,DIY and Home,Politics",,,illiterate people,other
2340,I fucking hate drunk people! ,1410078465466,"DIY and Home,Drugs and Alcohol,Politics",United States,Missouri,drunk people,other
2341,"I hate greedy people. Thanks to them, I'm losing everything I've busted my ass to get.",1410096073953,"Health and Wellness,NSFW,Politics",United States,West Virginia,greedy people,behavior
2342,"I hate judgmental people. Just let me live my life how I want to, and I'll let you live yours. ",1410097646396,"Confessions,DIY and Home,LOL,Politics",United States,Indiana,judgmental people,behavior
2343,"I hate negative people. Posted about loving my boyfriend and moving with him, all negative responses. I'm 29, not 12 I don't need to be told it's a phase!",1410099320670,"Confessions,DIY and Home,Politics,Relationships",Canada,Ontario,negative people,behavior
2344,I'm sick of gay people taking the rainbow for their symbol. It's God's promise of coming back. ,1410102390333,,,,gay people,sexual_orientation
2345,"My drunk patient is the only person I like at work today
  ....I hate drunk people


",1410109663957,"Confessions,DIY and Home,Drugs and Alcohol,Politics,Work",,,drunk people,other
2346,I don't like racist people. Like how can you literally be THAT stupid to think someone is inferior because they're not a certain race? It's the dumbest thing I've ever heard of.,1410109941918,"Confessions,DIY and Home,Politics,Q and A",United States,Virginia,racist people,race
2347,im so sick of being a gay man. gay men suck. all of them. I hate gay people when it comes to dating.,1410110027662,"Confessions,DIY and Home,LGBTQ,Politics",Canada,Washington,gay people,sexual_orientation
2348,"I'm sick of gay people taking the rainbow for their symbol!, it's god's promise in returning.",1410110313966,"DIY and Home,LGBTQ,Politics",,,gay people,sexual_orientation
2349,"I hate homophobic people. I think it's wrong to criticize someone for who they love. Everyone deserves love, no matter what gender they like! They are human just like everyone else. ",1410116501854,"Confessions,DIY and Home,Politics",,,homophobic people,sexual_orientation
2350,I hate fake people,1410118325750,"Confessions,DIY and Home,Politics",United States,Texas,fake people,behavior
2351,I don't like gay people.,1410122808730,"Confessions,DIY and Home,LGBTQ,Politics",,,gay people,sexual_orientation
2352,I wanted to clarify something- Just because I'm a Christian doesn't mean I hate gay people? I have an overwhelming respect for gay people actually.,1410123301133,"DIY and Home,Faith,LGBTQ,Politics,Q and A",,,gay people,sexual_orientation
2353,"I don't like black people! There, I said it.",1410123338830,"Confessions,DIY and Home,Politics",,,black people,race
2354,I HATE white people,1410123337531,"Confessions,DIY and Home,Politics",,,white people,race
2355,"I don't like black people! There, I said it.",1410123333671,"Confessions,DIY and Home,Politics",,,black people,race
2356,"I secretly hate gay people but I always seem to make friends with them -.-
",1410123425095,"Confessions,DIY and Home,LGBTQ,Politics,Relationships",,,gay people,sexual_orientation
2357,I hate fat people. ,1410124296587,"Confessions,DIY and Home,Health and Wellness,Politics",,,fat people,physical
2358,I hate serious people,1410124969929,"DIY and Home,Politics",Turkey,İstanbul,serious people,behavior
2359,I hate stupid people.   Most people are stupid.  ,1410130178963,"Confessions,DIY and Home,Politics",United States,Connecticut,stupid people,other
2360,I hate fake people,1410131623736,"Confessions,DIY and Home,Politics",United States,Indiana,fake people,behavior
2361,Hate to be racist but I hate black people! ,1410132043732,"Confessions,DIY and Home,Politics",United States,Texas,black people,race
2362,I really hate fake people  ,1410134397437,"Confessions,DIY and Home,Politics",United States,Texas,fake people,behavior
2363,I hate french people,1410135590939,,United Kingdom,,french people,ethnicity
2364,I hate pushy people.,1410140321324,"Confessions,DIY and Home,Politics",,,pushy people,behavior
2365,Just found out I have Irish in me...I hate white people,1410141128440,"Confessions,DIY and Home,Politics",United States,Pennsylvania,white people,race
2366,I hate fat people they are giving me nausea,1410146231501,"DIY and Home,Health and Wellness,Politics",Canada,Québec,fat people,physical
2367,"I hate beautiful people and when they walk away I cough cow, and I say it loud to make sure they know that I hate them ",1410146824197,"Confessions,DIY and Home,Politics",United States,Oregon,beautiful people,physical
2368,I can't stand stupid people! ,1410147749898,"DIY and Home,Politics",United States,Pennsylvania,stupid people,other
2369,"I hate fake people, I'm a little too honest and can't keep my mouth shut. Therefore, I don't have many friends. I like it like that. Weeds out the bs. ",1410148863580,"Confessions,DIY and Home,Drugs and Alcohol,Politics",United States,Florida,fake people,behavior
2370,"I am a BITCH.
I honestly hate fat people, Christians and feminists.
And I don't give a fuck if you're gonna judge me for it",1410168078096,"Celebrities and Pop Culture,DIY and Home,Faith,Politics",,,fat people,physical
2371,I hate fake people!!! ,1410172167417,"DIY and Home,Politics",United Kingdom,England,fake people,behavior
2372,"I hate judgemental people...it's like ""bitch,  you don't know me!""",1410173623968,"Celebrities and Pop Culture,Confessions,DIY and Home,LOL,Politics",United States,North Dakota,judgemental people,behavior
2373,I don't like ugly people,1410173707672,"Confessions,DIY and Home,Politics",,عمان,ugly people,physical
2374,I can't stand selfish people,1410181603411,,United States,,selfish people,behavior
2375,I hate black people ,1410192951901,"DIY and Home,Politics",,,black people,race
2376,I hate rich people.,1410192999409,"DIY and Home,Politics",United States,New Jersey,rich people,class
2377,"I despise ignorant people. 
OPEN YOUR MIND. 
Stop judging. 
And pick up a book from time to time.  ",1410194946806,,United States,,ignorant people,behavior
2378,I hate fat people. Complaining and saying that having a normal body type is anorexia. Stop being a victim and go on a run,1410196754867,"DIY and Home,Health and Wellness,Politics",,,fat people,physical
2379,I hate black people!!  Ewwww,1410197473350,"DIY and Home,Politics",,,black people,race
2380,"I hate mean people, mean people say I'm ugly (even though I am) it's mean
",1410198812901,,,,mean people,behavior
2381,I hate negative people with negative minds. ,1410199235985,"DIY and Home,Politics",United Kingdom,England,negative people,behavior
2382,I hate negative people  ,1410199827649,"Confessions,DIY and Home,Politics",United Kingdom,England,negative people,behavior
2383,I hate stupid people!,1410206373276,"DIY and Home,Politics",United States,Georgia,stupid people,other
2384,I hate black people,1410209755440,"DIY and Home,Politics",United States,Massachusetts,black people,race
2385,I'm so sick of black people,1410210091469,"Confessions,DIY and Home,Politics",,,black people,race
2386,I hate stupid people  ,1410210545673,"Confessions,DIY and Home,Politics",United States,Virginia,stupid people,other
2387,"I'm racist I don't like black people.
My best friend is black",1410212158382,"Confessions,DIY and Home,Politics,Relationships",,,black people,race
2388,I hate lazy people ,1410213350875,,,,lazy people,behavior
2389,I hate white people,1410213532928,,United States,,white people,race
2390,I hate needy people. ,1410214044865,"DIY and Home,Politics",United States,Ohio,needy people,behavior
2391,I hate black people. they are so rude and ignorant. look at Ferguson Missouri and the fact that the policemans eye socket was crushed and the dude jumped in the police car and grabbed the cops gun ,1410214969852,"Confessions,DIY and Home,Politics",,,black people,race
2392,I love being by myself. I hate happy people 😒,1410216547120,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Florida,happy people,behavior
2393,I cannot stand clingy people. Like at all. ,1410216583313,,,,clingy people,behavior
2394,"Heckling fat people is not sexist even if it is a fat women 

I fucking hate fat people ",1410219335298,"Health and Wellness,NSFW,Politics",United States,Michigan,fat people,physical
2395,"I hate clingy people.
It's a huge turn off.
I like my space.
Explains why I'm single. ",1410221128722,"Confessions,DIY and Home,Politics",,,clingy people,behavior
2396,It's not that I don't like black people I just don't hang out with nor am I attracted to them. ,1410222164256,"Confessions,DIY and Home,Politics",United States,Florida,black people,race
2397,I really hate clingy people. Makes me think you're insecure. ,1410223983509,"Confessions,DIY and Home,LOL,Politics",United States,Florida,clingy people,behavior
2398,I hate gay people. ,1410224552020,"DIY and Home,LGBTQ,Politics",United States,New York,gay people,sexual_orientation
2399,I hate straight people. ,1410224656529,"Confessions,DIY and Home,LGBTQ,Politics",United States,New York,straight people,sexual_orientation
2400,"I
HATE
Homophobic 
people",1410225601095,"DIY and Home,Politics",United States,North Carolina,homophobic people,sexual_orientation
2401,I hate nosy people especially when it comes to finances... it just bugs me maybe because my family doesn't do that they respect privacy ,1410226537426,"Confessions,DIY and Home,Family,Politics",,,nosy people,behavior
2402,I Must Be Going To Hell... Because I Hate White People.,1410229299300,"Confessions,DIY and Home,Politics",,,white people,race
2403,I hate thirsty people. why can't people just be friends or does this generation not know what that means,1410230298526,"Confessions,DIY and Home,Politics,Q and A",United States,North Carolina,thirsty people,other
2404, I hate rude people they suck. ,1410233809669,"Confessions,DIY and Home,Politics",United States,Wisconsin,rude people,behavior
2405,i hate stupid people who are too stupid to know they are stupid.,1410234441027,"DIY and Home,Politics",United States,Illinois,stupid people,other
2406,I don't like overweight people that stink,1410234953409,"Confessions,DIY and Home,Health and Wellness,Politics",,,overweight people,physical
2407,I'm a 35 year old white woman and a racist. why do I hate black people so much? ,1410235256707,,United States,,black people,race
2408,I hate ugly people. and ones that bathe scarcely,1410237129398,"Confessions,DIY and Home,Politics,Sports",,,ugly people,physical
2409,I don't like judgemental people I don't understand why we judge one another when we are all beautiful/handsome in our own way,1410301317546,"Confessions,DIY and Home,Politics",Canada,Washington,judgemental people,behavior
2410,"I hate stupid people, who tell people who self-harm to cut their wrist deeper.i would love to beat the shit out of everyone of y'all :) just cause some don't cut deep don't mean they seek attention ",1410301349491,"Confessions,DIY and Home,Politics",United States,North Carolina,stupid people,other
2411,I cannot stand weak people. ,1410303320188,"Confessions,DIY and Home,Fashion,Politics",United States,California,weak people,physical
2412,"I don't like rude people
",1410304627043,"Confessions,DIY and Home,Politics",United States,Missouri,rude people,behavior
2413,I cannot stand clingy people.  ,1410305047064,"Confessions,DIY and Home,Politics",United States,Missouri,clingy people,behavior
2414,I can't stand stupid people!!,1410307351138,"Confessions,DIY and Home,Politics",United States,Virginia,stupid people,other
2415,I fucking HATE ghetto people,1410311509254,"Confessions,DIY and Home,Politics",United States,Texas,ghetto people,class
2416,"I really hate stupid people, just got into an argument with some dude because he thinks that if your gay you're stupid... I just wish I could punch people though my phone sometimes ",1410313376344,"Confessions,DIY and Home,LGBTQ,LOL,Politics",United States,Nebraska,stupid people,other
2417,i despise gay people at the maximum and i even beat them,1410318440131,"Confessions,DIY and Home,LGBTQ,Politics",Bulgaria,Plovdiv,gay people,sexual_orientation
2418,i hate gay people and my brother is gay,1410318831428,"DIY and Home,Family,LGBTQ,Politics",United States,California,gay people,sexual_orientation
2419,I don't hate black people but I HATE ghetto people,1410319376181,"Confessions,DIY and Home,Politics",United States,Virginia,ghetto people,class
2420,"I hate happy people and people who are happy to be in a relationship.

Stop rubbing it in my face.
Go die.",1410319796535,"Confessions,DIY and Home,Politics",United States,New Jersey,happy people,behavior
2421,"I hate gay people , end of story.",1410323412930,"DIY and Home,LGBTQ,Politics",United States,Texas,gay people,sexual_orientation
2422,I hate gay people . ,1410323883372,"DIY and Home,LGBTQ,Politics",,,gay people,sexual_orientation
2423,I HATE BLACK PEOPLE! ,1410323945640,"DIY and Home,Politics",United States,Texas,black people,race
2424,"im native American and Mexican among other things, but people always say im just white because I have light skin. I hate racist people.",1410325873182,"Confessions,DIY and Home,Politics",Canada,Montana,racist people,race
2425,I really hate ignorant people,1410330118517,,,,ignorant people,behavior
2426,"I HATE stupid people.




More than is entirely natural. ",1410333580563,"Confessions,DIY and Home,Politics",United Kingdom,England,stupid people,other
2427,I hate rude people on here some personalities aren't meant for this app,1410334543315,"DIY and Home,Politics",Canada,British Columbia,rude people,behavior
2428,"I can't stand stupid people,
they should be sterilised to save the Earth.",1410346966987,"Confessions,DIY and Home,Politics",,,stupid people,other
2429,I don't like old people with iPhones,1410368151395,"Confessions,DIY and Home,Politics",United States,Oklahoma,old people,physical
2430,I hate stupid people,1410371538099,"DIY and Home,Politics",United States,Wyoming,stupid people,other
2431,i hate black people. fucking monkeys   ,1410376600776,,,,black people,race
2432,"I hate cheap people!!!!! I don't understand why people don't tip.

WHEN SOMEONE DOES A SERVICE FOR YOU, YOU SHOULD TIP THEM....",1410377160422,"Confessions,DIY and Home,LOL,Politics,Q and A",United States,Virginia,cheap people,behavior
2433,I love being childish but I hate childish people...there's a point where it's okay but a point where you need to mature up!,1410378012532,"DIY and Home,LOL,Parenting,Politics",,,childish people,behavior
2434,"I work at a call center . 


I hate old people now ! ",1410382652767,"Confessions,DIY and Home,Politics,Work",United States,North Carolina,old people,physical
2435,I hate pushy people. I'll do it when I do it. ,1410384496368,"Confessions,DIY and Home,LOL,Politics,Q and A",New Zealand,Auckland Region,pushy people,behavior
2436,"I really hate drunk people, I know it's harsh but I do ",1410384537180,"Confessions,DIY and Home,Drugs and Alcohol,Politics",United Kingdom,England,drunk people,other
2437,"I fucking hate emo people. They usually have lives that some would kill to have and always whine about their nonexistent problems on the internet, then have the nerve to say they aren't doing ""it"" for attention. ",1410384914149,"Confessions,DIY and Home,Politics",,,emo people,behavior
2438,I can't stand gay people that go out the way to show it to the max. ,1410385105105,,,,gay people,sexual_orientation
2439,"I hate fake people, you can see right through them, and they don't know it.",1410386146539,"Confessions,DIY and Home,LOL,Politics",,,fake people,behavior
2440,I hate racist people they get on my damn nerves,1410389737023,"Confessions,DIY and Home,Politics",United States,Texas,racist people,race
2441,I hate white people but I like white woman ,1410390871382,"Confessions,DIY and Home,Politics",United States,Maryland,white people,race
2442,I can't stand racist people,1410390885206,"Confessions,DIY and Home,Politics",,,racist people,race
2443,I hate white people always hating on Mexicans bitch we hate u,1410394334137,"Celebrities and Pop Culture,DIY and Home,Politics",,,white people,race
2444,"I hate black people, and every hispanic exept for mexicans. I wish that the usa, and mexico were the only countries in the world",1410395598395,,Mexico,,black people,race
2445,I hate white people ,1410396102631,"Confessions,DIY and Home,Politics",,,white people,race
2446,"I'm sick of nosey people




Even though I'm one of them",1410396677282,"Confessions,DIY and Home,Politics",United States,Illinois,nosey people,behavior
2447,I don't like fake people. ,1410397134456,"Confessions,DIY and Home,Politics",,,fake people,behavior
2448,"I hate lazy people. 
",1410398186532,"DIY and Home,Politics",United States,North Carolina,lazy people,behavior
2449,I don't like Mexican people,1410398651499,"Confessions,DIY and Home,Politics",,,mexican people,behavior
2450,I hate racist people ..... and hopefully they will work as hard as immigrants,1410398937283,"Confessions,DIY and Home,Politics,Work",United States,Arizona,racist people,race
2451,I HATE IGNORANT PEOPLE  ,1410399165431,"Confessions,DIY and Home,Politics",United States,Michigan,ignorant people,behavior
2452,"I fucking hate country people
",1410399726995,"DIY and Home,Politics",United States,Illinois,country people,class
2453,I hate fake people,1410402221473,"Confessions,DIY and Home,Politics",,,fake people,behavior
2454,"I hate fake people more 
Than anything ! 
",1410402349335,"DIY and Home,Politics",,,fake people,behavior
2455, I absolutely can't stand lazy people. They're my biggest pet peeve. No joke!!!,1410403209307,"Confessions,DIY and Home,Politics",United States,California,lazy people,behavior
2456,I don't like ugly people,1410403603810,"Confessions,DIY and Home,Politics",United States,Florida,ugly people,physical
2457,i hate racist people,1410405015469,,,,racist people,race
2458,"With all these riots going on and videos of minorities beating white people for no reason, they are the reason why I hate black people",1410405764580,"Confessions,DIY and Home,Politics",,,black people,race
2459,I hate disrespectful people ,1410408665655,"Confessions,DIY and Home,Politics",,,disrespectful people,behavior
2460,I really hate ignorant people!!!!!!!!!!,1410410689951,"DIY and Home,Politics",United States,Texas,ignorant people,behavior
2461,"I hate drunk people, and I work in a bar. FML",1410411011122,"DIY and Home,Drugs and Alcohol,Politics,Sports,Work",United States,Michigan,drunk people,other
2462,"White people think it's cool to openly say ""I don't like black people"", but as soon as a black person says they don't like white people for legitimate reasons they like to bitch about equality lol",1410420444692,"Confessions,DIY and Home,Politics",United States,Georgia,black people,race
2463,I hate fake people.  ,1410420828406,"Confessions,DIY and Home,Politics",,,fake people,behavior
2464,I hate superficial people!!!,1410421402324,"DIY and Home,Politics",United States,Texas,superficial people,behavior
2465,im bisexual yet I hate gay people and I only fall for straight people,1410429502560,"Confessions,DIY and Home,LGBTQ,Politics",United Kingdom,Wales,gay people,sexual_orientation
2466,I judge people on the way they act . I really don't like ghetto people,1410433120910,"Confessions,DIY and Home,Politics",United States,Georgia,ghetto people,class
2467,I hate fake people like you can even imagine ,1410437751637,,,,fake people,behavior
2468,I really hate ignorant people. Today I just want to stay in bed because I might slap someone. People are ignorant and have no respect for others ,1410441432966,"Confessions,DIY and Home,Politics",,,ignorant people,behavior
2469,I hate stupid people ,1410443204821,"Confessions,DIY and Home,Politics",,,stupid people,other
2470,i hate insecure people who just want me to feel insecure. im stronger than them ,1410444095877,"Confessions,DIY and Home,Politics",Japan,長崎県,insecure people,behavior
2471,I hate homophobic people with a passion,1410445957829,"DIY and Home,Politics",Australia,New South Wales,homophobic people,sexual_orientation
2472,"i hate old people at the grocery store. with the amount of time they have left to live you would think they would move faster!
",1410447476058,"Confessions,DIY and Home,Politics",United States,Maryland,old people,physical
2473,I can't stand uneducated people,1410447690478,"Confessions,DIY and Home,Politics",United States,Michigan,uneducated people,other
2474,"I hate rude people,
I love big trucks,
Country Boys
Country Music &
My Onesie 💖",1410447861316,"DIY and Home,Music,Politics",Russian Federation,Scotland,rude people,behavior
2475,I don't like old people,1410452018748,"Confessions,DIY and Home,Politics",Canada,New Brunswick,old people,physical
2476,"I can't stand white people that dress, talk and act like they're black. If Bryan Silva is a complete joke, what makes you think that you aren't?",1410452979982,,Canada,,white people,race
2477,I hate stupid people! ,1410458721589,"DIY and Home,Politics",United States,Ohio,stupid people,other
2478,I hate racist people!,1410461113814,"DIY and Home,Politics",,,racist people,race
2479,I hate racist people. Fuck off mate. ,1410464055144,"Confessions,DIY and Home,Politics",United Kingdom,England,racist people,race
2480,I hate British people ,1410470022740,,,,british people,ethnicity
2481,I hate stupid people!!!!,1410470687284,"DIY and Home,Politics",United States,Massachusetts,stupid people,other
2482,I hate short people I wish I could step on them.,1410471678345,"Confessions,DIY and Home,Politics",United States,South Carolina,short people,physical
2483,I HATE RACIST PEOPLE ,1410471819345,"Confessions,DIY and Home,Politics",United States,Indiana,racist people,race
2484,I can't stand lazy people ,1410473378601,"Confessions,DIY and Home,Politics",,,lazy people,behavior
2485,I hate racist people.,1410473522911,"Confessions,DIY and Home,Politics",,,racist people,race
2486,"I hate fat people who don't shower
",1410475862801,"Confessions,DIY and Home,Health and Wellness,Politics",,,fat people,physical
2487,I hate fat people and think they should die because they're leeches to society and ruin everything.  ,1410476903885,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Virginia,fat people,physical
2488,I hate FAKE people. ,1410478498666,"Confessions,DIY and Home,Politics",Canada,Washington,fake people,behavior
2489,"I hate stupid people, they just piss me off. Especially stupid people that think they are intelligent! ",1410480568582,"Confessions,DIY and Home,Politics",United Kingdom,England,stupid people,other
2490,I hate rude people ,1410482243168,"Confessions,DIY and Home,Politics",Canada,Nova Scotia,rude people,behavior
2491,"I
HATE
DRUNK
PEOPLE!#SFS",1410487725639,"DIY and Home,Drugs and Alcohol,Politics",United States,Florida,drunk people,other
