Tweet id (you need to refetch them using Twitter API),Hate targets extracted from the tweet text,Hate categories assigned by us
 505438940464418816 ,loud people,behavior
 505442035831033856 ,loud people,behavior
 505443055051485184 ,ignorant people,behavior
 505446804763471872 ,bipolar people,disability
 505455990301806592 ,ignorant people,behavior
 505457038869409792 ,stupid people,other
 505457298903678976 ,unreliable people,behavior
 505465423274708992 ,cocky people,behavior
 505479432254271488 ,unappreciative people,behavior
 505482879980564480 ,nosey people,behavior
 505493244084379649 ,loud people,behavior
 505499577483800576 ,judgmental people,behavior
 505519131333255169 ,white people,race
 505520649696477184 ,stupid people,other
 505529730335252480 ,selfish people,behavior
 505530644714496000 ,loud people,behavior
 505531412280123392 ,loud people,behavior
 505537271723196416 ,loud people,behavior
 505538878145429504 ,ungrateful people,behavior
 505547208037777409 ,racist people,race
 505547946197549056 ,clingy people,behavior
 505558289380171776 ,negative people,behavior
 505559652529352704 ,cocky people,behavior
 505563821650771969 ,greedy people,behavior
 505565688128622592 ,rude people,behavior
 505566120146120704 ,disrespectful people,behavior
 505582305943904256 ,ignorant people,behavior
 505596944064851968 ,poor people,class
 505605554979766272 ,sneaky people,behavior
 505614186844815360 ,nosey people,behavior
 505629428957716482 ,mean people,behavior
 505671707542429696 ,fake people,behavior
 505691496255733760 ,childish people,behavior
 505733028266901505 ,fake people,behavior
 505734731171131392 ,ungrateful people,behavior
 505739676247138304 ,unappreciative people,behavior
 505750128427532288 ,rude people,behavior
 505751298642178048 ,cocky people,behavior
 505764691079991296 ,fake people,behavior
 505766419121053696 ,negative people,behavior
 505777110385168384 ,white people,race
 505777110401953793 ,white people,race
 505777617933717505 ,white people,race
 505779153028009985 ,white people,race
 505779417285951488 ,white people,race
 505783250863009793 ,nosey people,behavior
 505784928572047361 ,stupid people,other
 505789466813161472 ,fake people,behavior
 505791429772587008 ,unappreciative people,behavior
 505791924679507968 ,fake people,behavior
 505799562502881280 ,messy people,behavior
 505803257675907072 ,sketchy people,behavior
 505812418056843264 ,indirect people,behavior
 505819468673462274 ,textin people,other
 505835331527401472 ,french people,ethnicity
 505843632067198976 ,ungrateful people,behavior
 505844592546447360 ,black people,race
 505848124146192386 ,dramatic people,behavior
 505848535221567489 ,french people,ethnicity
 505851190199222272 ,white people,race
 505851223770423297 ,black people,race
 505851416708382720 ,white people,race
 505851446047551488 ,white people,race
 505851714503966720 ,white people,race
 505852201022279680 ,unorganized people,behavior
 505856953156128768 ,fake people,behavior
 505858370868613120 ,fake people,behavior
 505864175781183489 ,white people,race
 505868793675915264 ,cheap people,behavior
 505882966250504192 ,drunk people,other
 505894706094800896 ,textin people,other
 505896715174428673 ,selfish people,behavior
 505903757398642688 ,stupid people,other
 505904055202611200 ,stupid people,other
 505910506063155200 ,ugly people,physical
 505912498328174592 ,negative people,behavior
 505914129907847170 ,judgmental people,behavior
 505922858275450881 ,ignorant people,behavior
 505925408400080896 ,immature people,behavior
 505926310188056578 ,white people,race
 505926909964722176 ,ignorant people,behavior
 505927308411412480 ,sneaky people,behavior
 505931804709486594 ,arrogant people,behavior
 505933708919341057 ,fat people,physical
 505934065451941888 ,attractive people,physical
 505940205896220672 ,spiteful people,behavior
 505943104168284160 ,fat people,physical
 505950620353044480 ,drunk people,other
 505951677347004416 ,fake people,behavior
 505952381964546048 ,negative people,behavior
 505960674120331264 ,fake people,behavior
 505961173247098880 ,black people,race
 505963257791004672 ,drunk people,other
 505967355659567104 ,sketchy people,behavior
 505977270964469762 ,white people,race
 505999286862376960 ,fake people,behavior
 506036020606160896 ,black people,race
 506037597638914048 ,bossy people,behavior
 506050415432314881 ,black people,race
 506071827366821889 ,black people,race
 506081969185513472 ,black people,race
 506093688066678784 ,iffy people,behavior
 506098612187963392 ,spoiled people,behavior
 506121143992852480 ,stupid people,other
 506122842682171392 ,unappreciative people,behavior
 506136126063923200 ,inconsiderate people,behavior
 506145483543564290 ,selfish people,behavior
 506146028782116864 ,french people,ethnicity
 506149908517486593 ,lazy people,behavior
 506152668364939264 ,religious people,religion
 506159039517306880 ,shallow people,other
 506172838785851392 ,in people,other
 506180879283392512 ,black people,race
 506182712164511744 ,spiteful people,behavior
 506194686927978498 ,white people,race
 506200605103120384 ,french people,ethnicity
 506209899680768000 ,selfish people,behavior
 506233148674277376 ,drunk people,other
 506234713175236608 ,pretty people,physical
 506235463964037120 ,drunk people,other
 506235631727837184 ,pretty people,physical
 506240333525835776 ,pretty people,physical
 506257249166049280 ,pretty people,physical
 506267219014062081 ,rude people,behavior
 506269672699076608 ,pretty people,physical
 506271799198613504 ,ignorant people,behavior
 506287032931328001 ,nosey people,behavior
 506287775306747904 ,fake people,behavior
 506301108999188480 ,racist people,race
 506306087633833984 ,black people,race
 506306221863759874 ,stupid people,other
 506307312382791680 ,black people,race
 506332708868747264 ,rude people,behavior
 506344561992822784 ,stupid people,other
 506349142151811072 ,pretty people,physical
 506366636610576384 ,french people,ethnicity
 506401466110971904 ,fat people,physical
 506401700987817984 ,fat people,physical
 506415240222101504 ,french people,ethnicity
 506426732606681089 ,black people,race
 506427886036058112 ,stupid people,other
 506457011266285569 ,immature people,behavior
 506463080453513217 ,old people,physical
 506468482683527168 ,french people,ethnicity
 506470693085929474 ,french people,ethnicity
 506482680410931200 ,religious people,religion
 506493707236171776 ,old people,physical
 506504243335811072 ,stupid people,other
 506512912945790976 ,negative people,behavior
 506513059750637569 ,negative people,behavior
 506515148538789888 ,ignorant people,behavior
 506542034006863872 ,selfish people,behavior
 506557032837566464 ,white people,race
 506557116732416000 ,white people,race
 506561919206313985 ,black people,race
 506568877543661568 ,pretty people,physical
 506577463292350464 ,black people,race
 506578629300858880 ,childish people,behavior
 506583322755989504 ,pretty people,physical
 506584975291215872 ,lazy people,behavior
 506596434146500608 ,cocky people,behavior
 506599827330060288 ,serious people,behavior
 506603136644300801 ,black people,race
 506612632540151808 ,ignorant people,behavior
 506618097701511168 ,white people,race
 506627430031708161 ,rude people,behavior
 506630407987953664 ,white people,race
 506631599191244800 ,fake people,behavior
 506632731657523200 ,ungrateful people,behavior
 506635269202644992 ,ignorant people,behavior
 506637504741928962 ,childish people,behavior
 506643343225270272 ,hypocritical people,behavior
 506644375016054784 ,trashy people,class
 506644437926031360 ,materialistic people,behavior
 506653690594607104 ,older people,physical
 506656689496813569 ,needy people,behavior
 506659176735858689 ,arrogant people,behavior
 506670950125809666 ,shady people,behavior
 506680618022096896 ,materialistic people,behavior
 506683096859561984 ,selfish people,behavior
 506699626603245568 ,pretty people,physical
 506707109229391872 ,fat people,physical
 506713438429929472 ,fake people,behavior
 506754689422336000 ,lazy people,behavior
 506756933362397184 ,black people,race
 506768295757111296 ,french people,ethnicity
 506774234874773505 ,french people,ethnicity
 506778521457262593 ,fat people,physical
 506822372897619968 ,ghetto people,class
 506822884615290880 ,ghetto people,class
 506826365862440960 ,dramatic people,behavior
 506826533663543296 ,fake people,behavior
 506829033477509120 ,rude people,behavior
 506830908302036992 ,ungrateful people,behavior
 506836373480169472 ,ungrateful people,behavior
 506853003920687104 ,ignorant people,behavior
 506854488704286721 ,fat people,physical
 506882766672510978 ,loud people,behavior
 506885677523693569 ,new people,other
 506886499632050176 ,white people,race
 506891931222564864 ,fat people,physical
 506898050749444096 ,white people,race
 506910679782400000 ,white people,race
 506912848216616960 ,nosy people,behavior
 506921987609206784 ,loud people,behavior
 506925250773127168 ,nosey people,behavior
 506931307369467904 ,nosy people,behavior
 506938316038873088 ,white people,race
 506944385213530112 ,fake people,behavior
 506948973773737985 ,cocky people,behavior
 506951628776554496 ,white people,race
 506956435427954689 ,loud people,behavior
 506968531825885185 ,messy people,behavior
 506975293039726592 ,black people,race
 506975779574808577 ,selfish people,behavior
 506979227300679680 ,fake people,behavior
 506983379662016512 ,ignorant people,behavior
 506986512789954560 ,nosey people,behavior
 506990224761962497 ,loud people,behavior
 506990245741871105 ,negative people,behavior
 506993374663294976 ,stupid people,other
 506999942976917505 ,cheap people,behavior
 507000228172812288 ,sneaky people,behavior
 507001662641545216 ,loud people,behavior
 507003470361415681 ,shitty people,behavior
 507003592013008898 ,temporary people,other
 507005009695739904 ,ungrateful people,behavior
 507017353524424704 ,rude people,behavior
 507026509690060802 ,asian people,ethnicity
 507029743498055681 ,serious people,behavior
 507056549290725376 ,unappreciative people,behavior
 507065344746610688 ,white people,race
 507065361507041280 ,white people,race
 507065453777518592 ,white people,race
 507103303206203392 ,petty people,behavior
 507113621189427203 ,clingy people,behavior
 507119623226273792 ,clingy people,behavior
 507132633961095169 ,loud people,behavior
 507134223602307072 ,loud people,behavior
 507138942173732864 ,white people,race
 507159821431607296 ,petty people,behavior
 507168046470160384 ,pretty people,physical
 507180889429008384 ,white people,race
 507192654455504896 ,fake people,behavior
 507205057012834304 ,white people,race
 507206403363463168 ,white people,race
 507208236274286592 ,fake people,behavior
 507220164895834112 ,french people,ethnicity
 507222773757136896 ,fat people,physical
 507233909604896769 ,fake people,behavior
 507238661751316480 ,dumb people,other
 507242008843264000 ,fake people,behavior
 507256315585249280 ,sneaky people,behavior
 507270572049707008 ,disrespectful people,behavior
 507272484648136705 ,french people,ethnicity
 507273633895833600 ,shady people,behavior
 507278893532086272 ,ignorant people,behavior
 507280042788155392 ,black people,race
 507280093094215680 ,childish people,behavior
 507280839680720896 ,awkward people,behavior
 507281007478059008 ,negative people,behavior
 507283490505633792 ,slow people,behavior
 507289010189107200 ,ignorant people,behavior
 507293611361566720 ,fake people,behavior
 507299571471753216 ,desperate people,behavior
 507302708810772480 ,negative people,behavior
 507311533622165504 ,dirty people,behavior
 507312842228637697 ,inconsiderate people,behavior
 507313987282034690 ,fake people,behavior
 507326335295836160 ,unappreciative people,behavior
 507328147260719104 ,unappreciative people,behavior
 507332891005952002 ,fake people,behavior
 507335369848020992 ,mean people,behavior
 507337341141524481 ,stupid people,other
 507358522380943360 ,insecure people,behavior
 507367158452457472 ,black people,race
 507376125883187200 ,needy people,behavior
 507376436282658816 ,illiterate people,other
 507381498786627585 ,stubborn people,behavior
 507390826939691008 ,needy people,behavior
 507394840863047680 ,awkward people,behavior
 507422984642899968 ,negative people,behavior
 507469780484624384 ,french people,ethnicity
 507469994419310593 ,fake people,behavior
 507502592549994496 ,fat people,physical
 507515225768488960 ,fake people,behavior
 507518744793739265 ,ghetto people,class
 507526583981453312 ,loud people,behavior
 507537212318449664 ,stupid people,other
 507540781675319296 ,black people,race
 507555608548347904 ,ungrateful people,behavior
 507577091760459779 ,black people,race
 507603037745991680 ,ugly people,physical
 507607504650383361 ,stupid people,other
 507610637829033984 ,nosy people,behavior
 507610914644692992 ,loud people,behavior
 507629617042051073 ,stupid people,other
 507634113327538179 ,hypocritical people,behavior
 507646478123155456 ,bitchy people,behavior
 507657286882693120 ,homophobic people,sexual_orientation
 507659014919176192 ,iffy people,behavior
 507680825287393280 ,inconsiderate people,behavior
 507684474335670272 ,white people,race
 507688530252812288 ,cocky people,behavior
 507691495617331200 ,black people,race
 507691734693081088 ,skinny people,physical
 507693777298145280 ,cocky people,behavior
 507699334758944768 ,disrespectful people,behavior
 507700106494107648 ,black people,race
 507702488884342784 ,pretty people,physical
 507710751675797504 ,nosey people,behavior
 507715398964228096 ,fake people,behavior
 507727973483819008 ,white people,race
 507734357214498816 ,ungrateful people,behavior
 507734483035254784 ,negative people,behavior
 507737112838680576 ,childish people,behavior
 507745384018345984 ,childish people,behavior
 507747703468478464 ,bitchy people,behavior
 507750136177377280 ,fake people,behavior
 507763742487355392 ,stupid people,other
 507793622721249280 ,loud people,behavior
 507857199969099776 ,french people,ethnicity
 507861499139072000 ,white people,race
 507863248159670272 ,greedy people,behavior
 507873847157080064 ,loud people,behavior
 507877408134168576 ,loud people,behavior
 507877487813357568 ,loud people,behavior
 507877609448169472 ,loud people,behavior
 507878175678795777 ,loud people,behavior
 507879865974919168 ,loud people,behavior
 507880830677426176 ,loud people,behavior
 507885578625777665 ,inconsistent people,behavior
 507886597866405888 ,loud people,behavior
 507888468505006081 ,negative people,behavior
 507895431045857280 ,selfish people,behavior
 507896588690538496 ,loud people,behavior
 507914582241722368 ,ignorant people,behavior
 507921813218029568 ,white people,race
 507945464923049985 ,racist people,race
 507946526052999169 ,racist people,race
 507955174720417792 ,racist people,race
 507965916332953600 ,rude people,behavior
 507968730698379264 ,black people,race
 507970278430109697 ,fake people,behavior
 507972643996581888 ,fake people,behavior
 507972732076965888 ,fat people,physical
 507982286693097473 ,nosey people,behavior
 508000368350232576 ,white people,race
 508005263094607872 ,loud people,behavior
 508012489888780288 ,british people,ethnicity
 508019783795609601 ,white people,race
 508028340163596288 ,fake people,behavior
 508036695233945600 ,dirty people,behavior
 508040897913946112 ,judgemental people,behavior
 508042101670834176 ,insecure people,behavior
 508052449035558913 ,white people,race
 508060288189751296 ,cocky people,behavior
 508070291583795200 ,loud people,behavior
 508070350308261889 ,childish people,behavior
 508073206628896768 ,drunk people,other
 508084174729650176 ,rude people,behavior
 508090562642464768 ,white people,race
 508102470309265408 ,religious people,religion
 508105423077908481 ,nosy people,behavior
 508119163626221568 ,fake people,behavior
 508124926595706880 ,fake people,behavior
 508132690257018880 ,disrespectful people,behavior
 508187132331323392 ,french people,ethnicity
 508230908248592385 ,fake people,behavior
 508233005425766400 ,black people,race
 508240399979118593 ,white people,race
 508243524731404288 ,racist people,race
 508268149507391489 ,childish people,behavior
 508270821266059264 ,stupid people,other
 508275300795699200 ,needy people,behavior
 508295894798979072 ,stupid people,other
 508298486907817984 ,inconsiderate people,behavior
 508300596630544384 ,sneaky people,behavior
 508313338921906176 ,white people,race
 508319118677008384 ,white people,race
 508325649187344385 ,old people,physical
 508325867324710912 ,white people,race
 508328727819091968 ,inconsistent people,behavior
 508329801577693184 ,white people,race
 508334058787831809 ,disrespectful people,behavior
 508336114013597697 ,white people,race
 508337993061376000 ,white people,race
 508346067071799296 ,ugly people,physical
 508351939089014784 ,childish people,behavior
 508353763623833601 ,unreliable people,behavior
 508357475595071488 ,loud people,behavior
 508363850912370688 ,temporary people,other
 508364719133315073 ,pretty people,physical
 508373267158413312 ,ugly people,physical
 508376530288771072 ,white people,race
 508376911979229184 ,white people,race
 508377012659302400 ,white people,race
 508377113297432576 ,white people,race
 508377318851870720 ,white people,race
 508378212238241792 ,white people,race
 508378220610461696 ,white people,race
 508378480648937473 ,white people,race
 508378874921902080 ,white people,race
 508379315336404992 ,white people,race
 508379608907923456 ,white people,race
 508380414227263488 ,white people,race
 508381550883647489 ,white people,race
 508388081418780672 ,childish people,behavior
 508392288322465792 ,white people,race
 508394112819953664 ,nosey people,behavior
 508397355016945664 ,white people,race
 508400186184704000 ,white people,race
 508400655929991168 ,dumb people,other
 508402119742095360 ,white people,race
 508410655159091202 ,mean people,behavior
 508412601336745984 ,ungrateful people,behavior
 508417466700423168 ,indecisive people,other
 508421262558130176 ,negative people,behavior
 508423556858773505 ,rich people,class
 508431702192951296 ,black people,race
 508432767521001472 ,fake people,behavior
 508437062522257408 ,ignorant people,behavior
 508444838757281793 ,white people,race
 508449347638292480 ,ungrateful people,behavior
 508449880281346048 ,white people,race
 508452900205776896 ,inconsistent people,behavior
 508453390909591553 ,inconsistent people,behavior
 508462526108278784 ,fake people,behavior
 508463155253899264 ,white people,race
 508464333861707776 ,fake people,behavior
 508469455102672896 ,old people,physical
 508477642400886784 ,white people,race
 508477654962831360 ,white people,race
 508477684318732288 ,white people,race
 508477768221220864 ,white people,race
 508477873091796992 ,white people,race
 508477994722009089 ,white people,race
 508478095393705984 ,white people,race
 508478292530581504 ,white people,race
 508478883889287168 ,white people,race
 508479173329813505 ,white people,race
 508480171544805376 ,white people,race
 508481505367441409 ,white people,race
 508481597608587264 ,white people,race
 508486249095520256 ,white people,race
 508487356421517313 ,white people,race
 508491311625019392 ,drunk people,other
 508494717407854592 ,nosey people,behavior
 508501197595348992 ,white people,race
 508502988579946496 ,straight people,sexual_orientation
 508506427917217792 ,white people,race
 508509678478036992 ,nosey people,behavior
 508511284887711744 ,white people,race
 508514757779800064 ,drunk people,other
 508526728327606272 ,attractive people,physical
 508528720630390784 ,fat people,physical
 508542020764598272 ,rude people,behavior
 508569124361207808 ,black people,race
 508574719575343105 ,black people,race
 508574774076145665 ,black people,race
 508575818478796800 ,white people,race
 508579341698347009 ,black people,race
 508581455618785280 ,black people,race
 508582697137364992 ,black people,race
 508583049450491904 ,black people,race
 508589135368835072 ,black people,race
 508603857392238592 ,white people,race
 508613672067801088 ,white people,race
 508631640462352385 ,white people,race
 508632454157312000 ,petty people,behavior
 508642142982774784 ,judgmental people,behavior
 508642780537946112 ,black people,race
 508644936410226689 ,loud people,behavior
 508653702509764608 ,loud people,behavior
 508675265405669376 ,negative people,behavior
 508677094117609473 ,gay people,sexual_orientation
 508695884595339264 ,random people,other
 508704218690383873 ,fake people,behavior
 508708006151086080 ,fake people,behavior
 508725022438227968 ,immature people,behavior
 508729300619898880 ,dramatic people,behavior
 508733662717018112 ,broke people,class
 508749278119227392 ,loud people,behavior
 508749974348529664 ,drunk people,other
 508750255383654400 ,inconsistent people,behavior
 508752121848549377 ,stubborn people,behavior
 508755934454509570 ,white people,race
 508757364707561472 ,fake people,behavior
 508762297243033600 ,black people,race
 508779590324850688 ,white people,race
 508783637853401088 ,white people,race
 508784199860772865 ,ignorant people,behavior
 508784459936989184 ,fake people,behavior
 508784468321386496 ,unappreciative people,behavior
 508785005179314176 ,white people,race
 508798070428274688 ,white people,race
 508813388055465985 ,ungrateful people,behavior
 508814394688811008 ,fat people,physical
 508820983927812096 ,nosey people,behavior
 508821554357338112 ,nosey people,behavior
 508823529887133696 ,inconsiderate people,behavior
 508832916710117378 ,black people,race
 508840642626453504 ,inconsiderate people,behavior
 508844421681782784 ,cocky people,behavior
 508846455948185600 ,mean people,behavior
 508867490353405952 ,straight people,sexual_orientation
 508868559934869504 ,white people,race
 508871277830881280 ,stupid people,other
 508886029211009024 ,white people,race
 508886448603688960 ,white people,race
 508913795482517504 ,shady people,behavior
 508921991165145088 ,white people,race
 508937921110765569 ,immature people,behavior
 508952349537476610 ,ignorant people,behavior
 508962889798279168 ,miserable people,behavior
 508974281561493504 ,slow people,behavior
 508977393718296576 ,white people,race
 508979759297351681 ,iffy people,behavior
 508981676098473984 ,slow people,behavior
 508984482087854080 ,white people,race
 508988110181789696 ,immature people,behavior
 508990463161155584 ,religious people,religion
 509005227123802112 ,fake people,behavior
 509019546469289984 ,stupid people,other
 509020368552886273 ,sneaky people,behavior
 509028883002556416 ,fake people,behavior
 509031626064822273 ,new people,other
 509040190841561088 ,fake people,behavior
 509090337935994881 ,selfish people,behavior
 509092397322891265 ,fake people,behavior
 509092846113415168 ,petty people,behavior
 509107224216875008 ,ignorant people,behavior
 509113620496941057 ,black people,race
 509116145497292801 ,spiteful people,behavior
 509126417322606592 ,white people,race
 509132331291246593 ,hypocritical people,behavior
 509165021696622592 ,nasty people,behavior
 509165600510603264 ,negative people,behavior
 509178938417893378 ,white people,race
 509183455670726656 ,slow people,behavior
 509190309168041984 ,white people,race
 509198794253426688 ,fake people,behavior
 509198995571232768 ,fake people,behavior
 509234261287641088 ,drunk people,other
 509262677706027008 ,white people,race
 509264225379037184 ,white people,race
 509271066297249792 ,white people,race
 509297767240699904 ,clingy people,behavior
 509309268026478592 ,white people,race
 509314288583188480 ,loud people,behavior
 509344646963945473 ,loud people,behavior
 509344655381520384 ,loud people,behavior
 509344785388544000 ,loud people,behavior
 509344999306448896 ,loud people,behavior
 509345028674977792 ,loud people,behavior
 509345808794533888 ,loud people,behavior
 509347167769608192 ,loud people,behavior
 509360044253519872 ,black people,race
 509374334255632384 ,rude people,behavior
 509380957062045697 ,broke people,class
 509392537539592193 ,clingy people,behavior
 509400477348282368 ,sneaky people,behavior
 509402209604628480 ,materialistic people,behavior
 509409964876898304 ,dirty people,behavior
 509439702504861696 ,negative people,behavior
 509440910426255360 ,bipolar people,disability
 509441715749416961 ,petty people,behavior
 509448778978308097 ,negative people,behavior
 509455074612232193 ,straight people,sexual_orientation
 509462989250912257 ,rude people,behavior
 509464788611903489 ,ignorant people,behavior
 509472422253572096 ,loud people,behavior
 509481893000388608 ,shady people,behavior
 509487450432212992 ,clingy people,behavior
 509487681123143681 ,black people,race
 509492001264664577 ,selfish people,behavior
 509499832038612992 ,cocky people,behavior
 509502768022061057 ,white people,race
 509505355920195584 ,loud people,behavior
 509509244052586496 ,fake people,behavior
 509510477182164993 ,stupid people,other
 509517779452825600 ,white people,race
 509517951423102976 ,white people,race
 509521126524223488 ,ghetto people,class
 509529284424519680 ,ignorant people,behavior
 509530580468645888 ,drunk people,other
 509532400779395072 ,ignorant people,behavior
 509535953363668992 ,unappreciative people,behavior
 509542852993765376 ,emotional people,behavior
 509545889690816512 ,rude people,behavior
 509546262958321664 ,white people,race
 509550876709879808 ,ignorant people,behavior
 509551182876917760 ,white people,race
 509560846553341952 ,white people,race
 509575186912268288 ,stupid people,other
 509583428707426304 ,white people,race
 509646846579720192 ,ignorant people,behavior
 509665658033172480 ,nosey people,behavior
 509668153627258880 ,loud people,behavior
 509668375958921216 ,loud people,behavior
 509668455629725696 ,loud people,behavior
 509668623385104384 ,loud people,behavior
 509682967938334720 ,fake people,behavior
 509692845520080897 ,shady people,behavior
 509700793696391168 ,loud people,behavior
 509710025372487680 ,racist people,race
 509711413682921472 ,loud people,behavior
 509713867367530496 ,greedy people,behavior
 509717159891976193 ,selfish people,behavior
 509743844049817600 ,white people,race
 509743881785982977 ,white people,race
 509744586437042176 ,white people,race
 509745412736303104 ,white people,race
 509746578739822592 ,white people,race
 509746578744410112 ,white people,race
 509748503929970688 ,white people,race
 509750265516675072 ,white people,race
 509759765623615488 ,petty people,behavior
 509769899057881089 ,rude people,behavior
 509782888825765888 ,serious people,behavior
 509793030644436993 ,gay people,sexual_orientation
 509795039745437696 ,sensitive people,behavior
 509796138644279297 ,white people,race
 509804917297807360 ,disrespectful people,behavior
 509813800858832896 ,stupid people,other
 509821019239239680 ,pretentious people,behavior
 509840514389409792 ,hypocritical people,behavior
 509841583907565569 ,racist people,race
 509856100393295872 ,selfish people,behavior
 509856469500825600 ,trashy people,class
 509857111241928704 ,white people,race
 509879190054002688 ,white people,race
 509892007851200513 ,fake people,behavior
 509896160191184897 ,white people,race
 509897988903555072 ,lazy people,behavior
 509898550939877376 ,negative people,behavior
 509908608902258688 ,fake people,behavior
 509910857053396992 ,judgmental people,behavior
 509917412729159680 ,disrespectful people,behavior
 509917492425142272 ,stupid people,other
 509917777634013185 ,shallow people,other
 509920021611417600 ,white people,race
 509921711916318720 ,inconsiderate people,behavior
 509929106440740864 ,white people,race
 509929639125712896 ,messy people,behavior
 509944214335926272 ,serious people,behavior
 510009217667694594 ,rude people,behavior
 510010488558993408 ,disrespectful people,behavior
 510029337756958720 ,fake people,behavior
 510034375120269312 ,preppy people,class
 510065811411972096 ,ungrateful people,behavior
 510068613186084864 ,racist people,race
 510072933327589376 ,negative people,behavior
 510082672492683265 ,black people,race
 510084882895491072 ,ratchet people,class
 510085927298154496 ,negative people,behavior
 510097650364870656 ,selfish people,behavior
 510105212716339200 ,fat people,physical
 510106009608531969 ,black people,race
 510109264388825088 ,loud people,behavior
 510115396452495360 ,childish people,behavior
 510118693184217088 ,ignorant people,behavior
 510127341864230912 ,disrespectful people,behavior
 510131276117188610 ,stupid people,other
 510139043959816192 ,stupid people,other
 510142302950801408 ,white people,race
 510143246648213504 ,white people,race
 510149076735000576 ,stupid people,other
 510150133691195392 ,ghetto people,class
 510152209863303168 ,white people,race
 510180710158991360 ,black people,race
 510188385756266496 ,disrespectful people,behavior
 510196581438857216 ,old people,physical
 510196631732748288 ,clingy people,behavior
 510199420970094595 ,cocky people,behavior
 510200062681440256 ,fake people,behavior
 510229754176634881 ,dumb people,other
 510230475571728384 ,sensitive people,behavior
 510231159247503360 ,ignorant people,behavior
 510234447602806784 ,fake people,behavior
 510236456678588416 ,superficial people,behavior
 510239023567097856 ,rude people,behavior
 510246200029626368 ,immature people,behavior
 510255918244585472 ,rude people,behavior
 510258275456413696 ,messy people,behavior
 510260494205485056 ,than people,other
 510261635076718592 ,ignorant people,behavior
 510264969565184000 ,white people,race
 510282216539049984 ,fake people,behavior
 510283034407354368 ,black people,race
 510286423401181184 ,cocky people,behavior
 510288176641232896 ,disrespectful people,behavior
 510300675670958080 ,stupid people,other
 510351451894579200 ,gay people,sexual_orientation
 510389284516687873 ,sensitive people,behavior
 510402811155464192 ,childish people,behavior
 510406682506432513 ,white people,race
 510416744645947392 ,ungrateful people,behavior
 510435849700642816 ,white people,race
 510437032469209088 ,spoiled people,behavior
 510441126114131968 ,white people,race
 510446150911275010 ,white people,race
 510451553141260288 ,ugly people,physical
 510453729993048065 ,white people,race
 510454707291041793 ,white people,race
 510457207079858176 ,white people,race
 510461380407730177 ,gay people,sexual_orientation
 510463087498231809 ,rude people,behavior
 510470830196023296 ,shallow people,other
 510471585166557185 ,selfish people,behavior
 510472356905906176 ,white people,race
 510479357186301952 ,cheap people,behavior
 510480653247188992 ,temporary people,other
 510485413786832896 ,white people,race
 510503340242137088 ,temporary people,other
 510504191685828608 ,normal people,behavior
 510504237810593792 ,normal people,behavior
 510505017950740480 ,normal people,behavior
 510513972773388289 ,bitter people,behavior
 510514488689192960 ,bitter people,behavior
 510516984308858880 ,clingy people,behavior
 510518695588659201 ,fat people,physical
 510522445301055491 ,petty people,behavior
 510535938368626688 ,white people,race
 510538857616785408 ,mean people,behavior
 510547074233163776 ,white people,race
 510552229036965888 ,white people,race
 510560412124057600 ,dumb people,other
 510560613446455296 ,black people,race
 510565831173230592 ,loud people,behavior
 510569060783095808 ,petty people,behavior
 510570910450221057 ,clingy people,behavior
 510571711595823104 ,judgemental people,behavior
 510587465392873473 ,selfish people,behavior
 510606801125900288 ,white people,race
 510607740637835264 ,ugly people,physical
 510608906650132480 ,rude people,behavior
 510610777347072001 ,spoiled people,behavior
 510626568868098048 ,asian people,ethnicity
 510628590543986688 ,rude people,behavior
 510634877814075394 ,selfish people,behavior
 510635913781604352 ,stupid people,other
 510639193735716864 ,white people,race
 510644872835891201 ,white people,race
 510647821440393216 ,conceited people,behavior
 510648123425693696 ,sensitive people,behavior
 510649008398667776 ,broke people,class
 510669250139136000 ,ignorant people,behavior
 510732898664976384 ,fat people,physical
 510742411359031296 ,judgmental people,behavior
 510747805259149312 ,black people,race
 510761394783125504 ,loud people,behavior
 510789966394175488 ,slow people,behavior
 510800733172932608 ,unreliable people,behavior
 510802020811677699 ,white people,race
 510808354198138880 ,negative people,behavior
 510823311094579200 ,white people,race
 510827438298103809 ,loud people,behavior
 510839605952663552 ,loud people,behavior
 510844983063355393 ,clingy people,behavior
 510860627817267200 ,fake people,behavior
 510860883657232384 ,unreliable people,behavior
 510864067138166784 ,stingy people,behavior
 510896828867706880 ,white people,race
 510898649174274048 ,white people,race
 510901438411571200 ,fake people,behavior
 510903074169585664 ,mean people,behavior
 510908057023307776 ,complicated people,behavior
 510928361636786177 ,corny people,behavior
 510953024148504576 ,selfish people,behavior
 510966412354269184 ,inconsiderate people,behavior
 510968434029387776 ,stupid people,other
 510978219345207297 ,needy people,behavior
 510984263320473600 ,nosey people,behavior
 510984984757534720 ,bitter people,behavior
 510992823894933504 ,black people,race
 510998771434815490 ,rude people,behavior
 511003750060658688 ,white people,race
 511007134876983296 ,pretty people,physical
 511009840198459392 ,inconsiderate people,behavior
 511014068048519168 ,fake people,behavior
 511019579372355584 ,drunk people,other
 511023106782412800 ,white people,race
 511023878521384960 ,fake people,behavior
 511027494015606784 ,drunk people,other
 511029519843876864 ,dishonest people,behavior
 511036050391982080 ,fake people,behavior
 511039829443084288 ,black people,race
 511053007963029504 ,temporary people,other
 511101645129019392 ,black people,race
